player_id,trial,reaction_time,is_match,clicked,correct,FP,FN,fatigue_level,drift_label
0,1,232.360151638913,0,0,1,0,0,0.0,1
0,2,330.50555219301646,0,0,1,0,0,0.2,1
0,3,641.8909239739734,1,1,1,0,0,0.4,1
0,4,348.4056686705499,1,1,1,0,0,0.6000000000000001,1
0,5,421.544161502127,0,0,1,0,0,0.8,1
0,6,602.104319209734,1,1,1,0,0,1.0,1
0,7,492.9177131346595,0,0,1,0,0,1.2000000000000002,1
0,8,508.9276754217136,0,0,1,0,0,1.4000000000000001,1
0,9,131.26245486590614,1,1,1,0,0,1.6,1
0,10,390.4952299646177,0,0,1,0,0,1.8,1
0,11,300.3256190629846,0,0,1,0,0,2.0,1
0,12,509.7127557333165,0,0,1,0,0,2.2,1
0,13,454.4116473502019,0,0,1,0,0,2.4000000000000004,1
0,14,598.9669946781148,1,1,1,0,0,2.6,1
0,15,465.7858359850437,0,0,1,0,0,2.8000000000000003,1
0,16,327.3455396353445,1,1,1,0,0,3.0,1
0,17,394.27523849320727,1,1,1,0,0,3.2,1
0,18,266.9532389402688,0,1,0,1,0,3.4000000000000004,1
0,19,373.5409417748648,1,1,1,0,0,3.6,1
0,20,501.224498898378,1,1,1,0,0,3.8000000000000003,1
0,21,100.0,0,0,1,0,0,4.0,1
0,22,277.3896030654006,1,1,1,0,0,4.2,1
0,23,465.3373795877717,1,1,1,0,0,4.4,1
0,24,525.026551995776,1,1,1,0,0,4.6000000000000005,1
0,25,426.84961876461983,0,0,1,0,0,4.800000000000001,1
0,26,495.6139283394116,0,0,1,0,0,5.0,1
0,27,353.36487560101506,1,1,1,0,0,5.2,1
0,28,533.6664187575747,1,1,1,0,0,5.4,1
0,29,490.4533076989451,0,0,1,0,0,5.6000000000000005,1
0,30,370.44214036837394,1,1,1,0,0,5.800000000000001,1
0,31,363.67198434122645,0,0,1,0,0,6.0,1
0,32,365.9426847486118,1,1,1,0,0,6.2,1
0,33,420.6334477341038,0,0,1,0,0,6.4,1
0,34,544.0061731940584,0,0,1,0,0,6.6000000000000005,1
0,35,394.27717970304593,0,0,1,0,0,6.800000000000001,1
0,36,465.57321027430663,0,0,1,0,0,7.0,1
0,37,465.5472592126044,1,1,1,0,0,7.2,1
0,38,523.0819059135861,1,1,1,0,0,7.4,1
0,39,481.6835472123947,1,1,1,0,0,7.6000000000000005,1
0,40,400.96380611896154,1,0,0,0,1,7.800000000000001,1
0,41,466.9643093845224,1,1,1,0,0,8.0,1
0,42,256.53907970730336,0,0,1,0,0,8.200000000000001,1
0,43,306.3205051734592,1,1,1,0,0,8.4,1
0,44,580.447828166833,1,1,1,0,0,8.6,1
0,45,431.7167254719906,1,1,1,0,0,8.8,1
0,46,357.99160222956544,1,0,0,0,1,9.0,1
0,47,337.4086397007909,0,0,1,0,0,9.200000000000001,1
0,48,367.0454461412525,0,0,1,0,0,9.4,1
0,49,573.8540506100576,1,1,1,0,0,9.600000000000001,1
0,50,392.56395352822284,0,0,1,0,0,9.8,1
0,51,384.2641508368035,0,1,0,1,0,10.0,1
0,52,475.9469829662743,1,1,1,0,0,10.200000000000001,1
0,53,407.3829171859597,0,0,1,0,0,10.4,1
0,54,484.9652359017532,1,1,1,0,0,10.600000000000001,1
0,55,577.7793617870618,0,0,1,0,0,10.8,1
0,56,409.98634432696315,0,1,0,1,0,11.0,1
0,57,534.6788080189559,1,1,1,0,0,11.200000000000001,1
0,58,416.1893379087337,1,1,1,0,0,11.4,1
0,59,496.44950969805194,1,1,1,0,0,11.600000000000001,1
0,60,343.62344135710373,1,0,0,0,1,11.8,1
0,61,613.3624117100094,0,0,1,0,0,12.0,1
0,62,560.2830927173236,0,0,1,0,0,12.200000000000001,1
0,63,496.270939155709,0,0,1,0,0,12.4,1
0,64,165.79196805136002,1,1,1,0,0,12.600000000000001,1
0,65,367.41904239149216,1,1,1,0,0,12.8,1
0,66,309.08183159002084,0,1,0,1,0,13.0,1
0,67,463.59394010105524,1,1,1,0,0,13.200000000000001,1
0,68,601.781660249734,0,0,1,0,0,13.4,1
0,69,371.60111382443887,0,0,1,0,0,13.600000000000001,1
0,70,199.57439141212032,0,0,1,0,0,13.8,1
0,71,503.58331694470724,1,1,1,0,0,14.0,1
0,72,395.4930966888171,1,1,1,0,0,14.200000000000001,1
0,73,517.4635345301969,1,1,1,0,0,14.4,1
0,74,622.7949275094097,0,0,1,0,0,14.600000000000001,1
0,75,335.85019957105476,0,1,0,1,0,14.8,1
0,76,581.8588979829631,1,1,1,0,0,15.0,1
0,77,483.74908540404346,1,1,1,0,0,15.200000000000001,1
0,78,312.89353364777287,1,1,1,0,0,15.4,1
0,79,329.4217366931631,0,0,1,0,0,15.600000000000001,1
0,80,535.3533029849326,0,0,1,0,0,15.8,1
0,81,681.4790746725973,1,1,1,0,0,16.0,1
0,82,518.5871116528239,0,0,1,0,0,16.2,1
0,83,346.313131304099,0,0,1,0,0,16.400000000000002,1
0,84,371.0920007256891,0,0,1,0,0,16.6,1
0,85,345.7693656771086,0,0,1,0,0,16.8,1
0,86,301.1223572839501,0,0,1,0,0,17.0,1
0,87,400.70843884292503,1,1,1,0,0,17.2,1
0,88,486.763204996707,1,1,1,0,0,17.400000000000002,1
0,89,263.595543866673,1,1,1,0,0,17.6,1
0,90,449.876046643276,0,0,1,0,0,17.8,1
0,91,587.177293792572,1,1,1,0,0,18.0,1
